filename	result	size	alternatives
23019330.O20.txt	בהתחשב בגילו הצעיר, בהעדר עבר פלילי, בלקיחת האחריות ובכלל נסיבות העניין, החלטנו על הקלה מסויימת בעונש; עונש המאסר יעמוד על 3 שנים, חלף 3 וחצי שנות מאסר שנקבעו בגזר הדין בבית המשפט המחוזי, שאר רכיבי גזר הדין יעמדו על כנם	1	['בהתחשב בגילו הצעיר, בהעדר עבר פלילי, בלקיחת האחריות ובכלל נסיבות העניין, החלטנו על הקלה מסויימת בעונש; עונש המאסר יעמוד על 3 שנים, חלף 3 וחצי שנות מאסר שנקבעו בגזר הדין בבית המשפט המחוזי, שאר רכיבי גזר הדין יעמדו על כנם']
22032000.P08.txt	המשיבה טוענת מנגד כי דין העתירה להידחות על הסף לאור ההלכה המושרשת לפיה בית המשפט ייטה שלא להתערב בשיקול דעתן של רשויות החקירה והתביעה, ובכלל זה בשאלת העילה שבשלה ייסגר תיק	6	"['המשיבה טוענת מנגד כי דין העתירה להידחות על הסף לאור ההלכה המושרשת לפיה בית המשפט ייטה שלא להתערב בשיקול דעתן של רשויות החקירה והתביעה, ובכלל זה בשאלת העילה שבשלה ייסגר תיק', 'למעלה מן הצורך באותו עניין, היא התייחסה לאופן שבו יש לסווג את עילות הסגירה, וזאת בשים לב לכך שחשוד שהוחלט לסגור את תיק החקירה בעניינו נהנה מחזקת החפות: ""דעתי היא כי כאשר עסקינן במי שלא נמצאו די ראיות להגשת כתב אישום בעניינם – מן הראוי להגמיש את המבחן לסגירת תיק חקירה בהיעדר אשמה, תוך שינוי הדרישה הראייתית שביסוד עילה זו', 'גם לגופו של עניין טוענת המשיבה כי דין העתירה להידחות', 'לכן הוחלט כי עילת הסגירה תהיה עילה של חוסר ראיות', 'סוף דבר, דין העתירה להידחות', 'לבסוף טוענת המשיבה כי לאור טענותיה לעיל, ההחלטה על דחיית הערר היא החלטה סבירה ומנומקת הכוללת התייחסות מלאה ומקיפה לכלל טענותיו של העותר, וכי משום כך דין העתירה להידחות']"
22010740.X06.txt	כן הוסכם כי המדינה תבקש להטיל על המערער 1 עונש של 4 שנות מאסר ותבקש להפעיל את עונש המאסר המותנה התלוי ועומד מעליו, ואילו ההגנה תטען באופן חופשי בעניינים אלה	5	['כן הוסכם כי המדינה תבקש להטיל על המערער 1 עונש של 4 שנות מאסר ותבקש להפעיל את עונש המאסר המותנה התלוי ועומד מעליו, ואילו ההגנה תטען באופן חופשי בעניינים אלה', 'המערער 2 יתייצב לריצוי עונש המאסר בפועל שהוטל עליו ביום 14.8.2022 בשעה 09:00 בבית המעצר קישון, או על פי החלטת שירות בתי הסוהר, כשברשותו תעודת זהות או דרכון', 'בהסדר הטיעון הוסכם כי יוטל על מוהנד עונש מאסר בפועל החופף את תקופת מעצרו שעמדה על שלושה חודשים, וכן ענישה נלווית', 'באשר למערער 2 הוסכם כי יוטל עליו עונש מאסר בפועל וענישה נלווית, כאשר לעניין משכו של עונש המאסר יטענו הצדדים באופן חופשי', 'לאחר עיון בגזר דינו של בית המשפט המחוזי, ולאחר בחינת טענות הצדדים בדיון שהתקיים לפנינו, באנו לכלל מסקנה כי דין הערעור להידחות']
23015880.E02.txt	אשר על כן, העתירה נדחית	1	['אשר על כן, העתירה נדחית']
23060140.E03.txt	אשר על כן, העתירה נדחית	2	['אשר על כן, העתירה נדחית', 'סוף דבר: לא ראינו מקום להתערב בהחלטת המפקד הצבאי לגבי הצו הנוכחי ואף לא מצאנו כי נפל פגם בהכרעות בתי המשפט הצבאיים בעניינו של העותר, נוכח המסוכנות הנשקפת מהעותר לשלום הציבור ובטחונו']
23021700.P05.txt	העותר יישא בהוצאות המשיבה ובהוצאות היועץ המשפטי לשיפוט הרבני בסך של 2,000 ₪ לכל אחד	4	['העותר יישא בהוצאות המשיבה ובהוצאות היועץ המשפטי לשיפוט הרבני בסך של 2,000 ₪ לכל אחד', 'המשיבה טענה מנגד כי דין העתירה להידחות על הסף מאחר שהיא אינה מגלה עילה להתערבות בהחלטות בית הדין הרבני בנוגע לסמכותו העניינית, וכי טענות העותר הן טענות במישור העובדתי בהן בית משפט זה אינו נוטה להתערב', 'דין העתירה להידחות על הסף', 'סוף דבר: העתירה נדחית']
21079460.E05.txt	העותר יישא בהוצאות המשיבים בסך 1,000 ₪	4	['העותר יישא בהוצאות המשיבים בסך 1,000 ₪', 'דין העתירה להידחות על הסף בהיותה מוקדמת', 'עוד טענו המשיבים, כי דין העתירה להידחות על הסף גם לנוכח חוסר ניקיון כפיים מצד העותר, שלא ציין בעתירתו כמו גם בבקשתו לריצוי המשך מאסרו באוקראינה, כי תלוי ועומד נגדו אישום פלילי בגין עבירת איומים כלפי קצין מודיעין בשירות בתי הסוהר, שביצע על פי הנטען ביום 10.2.2019', 'סוף דבר, שהעתירה נדחית']
22014200.Y03.txt	"ביום 27.1.2016 הוחלט שלא להעמיד את המתלונן לדין ותיק החקירה נגדו נסגר בעילה של ""חוסר ראיות"" בהתאם להוראת סעיף 62(ב) לחוק סדר הדין הפלילי [נוסח משולב], התשמ""ב-1982 (להלן: החסד""פ)"	4	"['ביום 27.1.2016 הוחלט שלא להעמיד את המתלונן לדין ותיק החקירה נגדו נסגר בעילה של ""חוסר ראיות"" בהתאם להוראת סעיף 62(ב) לחוק סדר הדין הפלילי [נוסח משולב], התשמ""ב-1982 (להלן: החסד""פ)', 'ביום 7.2.2022 הודיעה מ""מ הנציב לב""כ העותרת כי לאחר דיון אצל היועץ המשפטי לממשלה, אשר תמך בעמדת המשנה ליועמ""ש בדבר סמכות ביקורת הנציבות במקרים מסוג זה, הוחלט לחדש את בירור התלונה, והעותרת התבקשה להגיש התייחסותה לתלונה עד ליום 21.2.2022', 'לאחר פנייתך הקודמת וההחלטה על דחיית בקשתך לשינוי עילת הסגירה, מכיוון והגשת ערר נוסף, הוחלט לפתוח את []תיק החקירה מחדש', 'לאחר שעיינתי בעתירה, בתגובה המקדמית שהגיש הנציב ובעמדת העותרת לגביה, סברתי כי דין העתירה להידחות על הסף מחמת היותה עתירה מוקדמת']"
21010890.J04.txt	כפי שיפורט להלן, אני סבור כי דין הערעור להתקבל	2	"['כפי שיפורט להלן, אני סבור כי דין הערעור להתקבל', 'לגבי זה, סיכמנו שאנו מקבלים את זה""']"
23041680.E02.txt	אשר על כן, העתירה נדחית	2	['אשר על כן, העתירה נדחית', 'עמדת המשיבים 3-2 (להלן: המשיבים) היא כי דין העתירה להידחות בהעדר עילה להתערבות שיפוטית בצו השני המתוקן, אשר הוצא מטעמי בטחון החלטיים ולאחר שנמצא כי אין דרך אחרת למנוע את הסיכון הגבוה הנשקף מן העותר לביטחון האזור ולשלום הציבור']
