filename,label
97013990_A04.txt,"? ??? ????? ?????? ????? ???? ???? ???????? ??????? ??""? 1399/97 ?""? 1570/97 ????: ???? ????? ?' ??? ???? ?????? ?' ???????-??? ???? ????? ?' ?????? ????? ??????? : ?? ????????? ??? ????? ? : ??? - ????? ???????? ??????? ??""? ???? ???? ????? ?????? ?? ??? ???? ?? ??? ????? ?????? ???????? ???? 29.1.97 ?????? 4095/96, ?.?."
97013990_A04.txt,"1300/96, ????? ?? ??? ???? ????? ?' ???? ????? ??????: ?' ????? ????""? ( 05.05.98 ) ??? ????? ? ?????? : ??""? ???? ???????? ??? ????? ?: ??""? ????? ?????; ??""? ?' ??????? ???-??? ????? ???? ???? ?? ?????? ???????."
95037280_A06.txt,"??? ????? ?????? ????? ???? ???? ???????? ??????? ?""? 95 / 3728 ????: ???? ????? ?' ??? ???? ????? ????? ?' ???? ???? ?????? ?' ????? ?????? : ????? ??? ????? : ????? ????? ????? ?? ??? ???? ?? ??? ????? ?????? ????? ??.?."
95037280_A06.txt,"23/95 ???? 5.6.95 ????? ?? ??? ???? ????? ???? ????? ??????: ?' ????? ????""? ( 13.04.97 ) ??? ?????? : ??""? ????? ??? ??? ????? : ??""? ?."
98050460_E04.txt,"? ??? ????? ?????? ??""? 5046/98 ????: ???? ????? ?' ??? ???? ????? ?' ???? ???? ????? ?' ?????? ?? ???: ???? ???? ??? ????? ? : ????? ????? ???? ???? ????? ?? ????? ??? ????? ?????? ??? ???? ??? ???? 29.6.98 ???? ?""? 3657/98 ?????? ?? ??? ???? ????? ?' ?????? ????? ??????: ?' ????? ????""? ( 09.11.98 ) ??? ?????: ??""? ???? ??? ??? ??????: ??""? ?????? ????? ??? ???? ?? ??? ????? ??????, ???? ??? ????? ??????? ????? ???? ????? ???????, ????? ?????."
98050460_E04.txt,"??? ?? ??, ??? ???? ???? ???? ????? ?????? ??????."
99084690_N18.txt,"? ??? ????? ?????? ????? ???? ???? ???????? ??????? ?""? 8469/99 ????: ???? ????? ?' ???? ???? ?????? ?' ????? ???? ????? ?' ?????? ?????? : ??????? ????? ??? ????? ? : ????? ????? ????? ?? ??? ???? ?? ??? ????? ?????? ???????? ???? 11.11.99 ??.?."
99084690_N18.txt,198/98 ????? ?? ??? ???? ?????? ?' ???.
94051640_B01.txt,"??? ????? ?????? ????? ???? ???? ???????? ??????? ?""? 94 / 5164 ????: ???? ????? ?."
94051640_B01.txt,??? ???? ????? ????? ?.
96064870_A01.txt,"? ??? ????? ?????? ??""? 96 / 6487 ????: ???? ????? ?' ??? ???? ????? ?' ??? ???? ????? ?' ???? ?????: ???? ????, ??""? ??? ????? ? : ????? ????? ???? ???? ????? ?? ?????? ?? ??? ????? ?????? ???????? ???? 8.9.96 ???? ??? 315/96 ????? ?? ??? ???? ?????? ?????? ??? ????? ??????: ?""? ??? ? ???""? (2 9.1.97) ??? ?????: ????? ??? ????? ?: ??""? ???? ??? ???-??? ????? ?."
96064870_A01.txt,"???: ????????, ??? ?? ????? ??????."
96094960_I08.txt,"? ??? ????? ?????? ????? ???? ???? ???? ???? ??""? 9496/96 ????: ???? ????? ?' ??? ???? ????? ?' ??? ???? ????? ?' ???? ????? : ????? ?????? ?????? ??""? ??? ????? : ???? ??????? ????? ???? ?? ??-???? ????? ??????: ?""? ????? ???""? (10.6.99) ??? ?????: ??""? ???? ???? ??? ?????: ??""? ??? ???? ???-??? ????? ????? ?? ??? ???? ??? ?????? ????? ??? ????? ??? ??????-????."
96094960_I08.txt,"??? ???? ????? ??????? ????? ??, ?????, ????? ?? ??? ?????."
97052930_M03.txt.txt,"???? ????? ?????? ????? ???? ???? ???????? ??????? ?""? 5293/97 ????: ???? ????? ?' ????? ??????: ???? ???? ?????? ??""? ??? ??????? : 1."
97052930_M03.txt.txt,"????? ????? ???? ????? ?""? 2."
97033800_E02.txt,"? ??? ????? ?????? ????? ???? ???? ???????? ??????? ?""? 3380/97 ????: ???? ????? ?' ??? ???? ?????? ?' ???????-??? ???? ????? ?' ????? ?????? ? : ????, ???? ????? ????? ??""? ??? ??????? : 1."
97033800_E02.txt,???? ???? 2.
97061080_G05.txt.txt,"? ??? ????? ?????? ????? ???? ???? ???? ???? ??""? 6108/97 ????: ???? ????? ?' ???? ???? ????? ?' ???? ???? ?????? ?' ????? ????? : ????? ???? ????? ??? ??????? : 1."
97061080_G05.txt.txt,?????? ??????? ?????? 2.
95045190_J01.txt.txt,"???? ????? ?????? ????? ???? ???? ???????? ??????? ?""? 95 / 4519 ????: ???? ?????? ?' ???????-??? ???? ????? ?' ????? ???? ?????? ?' ????? ?????? : T & R INTERNATIONAL LTD ??? ????? : ???? ?????? ????? ??????? ????? ????? ????? ??????? ??????? ???? ???? ?????? ????? ?? ??? ???? ?? ??? ????? ?????? ???-????-??? ???? 14.6.95 ???? ????? 1078/95 ?.?."
95045190_J01.txt.txt,"379/92 378/92, 381/92, 384/92 ????? ?? ??? ???? ????? ???? ????? ??????: ?' ???? ? ????""? ( 18.03.97 ) ??? ?????? : ??""? ???? ????? ??? ????? : ??""? ???? ?????? ?? ???-??? ?""? ?????? ?????? ?? ???? ??? ????? ???? ????? ?????? ?? ??? ????? ?????? ?????? ???? ???? ????? ????? ???? ????? ?????? ?? ?????? ?????? ?????? ????? ?????."
