filename	result
23019330.O20.txt	
22032000.P08.txt	
22010740.X06.txt	"בגמר הדיון היום, בלקיחת אחריות מלאה. המערער חזר בו מערעורו על הכרעת הדין. בהתחשב בגילו הצעיר, בהעדר עבר פלילי, בלקיחת האחריות ובכלל נסיבות העניין, החלטנו על הקלה מסויימת בעונש; עונש המאסר יעמוד על 3 שנים, חלף 3 וחצי שנות מאסר שנקבעו בגזר הדין בבית המשפט המחוזי, שאר רכיבי גזר הדין יעמדו על כנם. ניתן היום, ז' בכסלו התשפ""ד ( 20.11.2023). ש ו פ ט"
23015880.E02.txt	
23060140.E03.txt	"זה?</s>פסק-דין בתיק ע""פ 1933/23 בבית המשפט העליון בשבתו כבית משפט לערעורים פליליים ע""פ 1933/23 לפני: כבוד השופט נ' סולברג כבוד השופטת ד' ברק-ארז כבוד השופט ע' גרוסקופף המערער: תאמר זועבי נ ג ד המשיבה: מדינת ישראל ערעור על הכרעת הדין וגזר הדין של בית המשפט המחוזי בנצרת, מיום 20.7.2022, ומיום 2.2.2023, בת""פ 39344-03-20, שניתנו על-ידי כבוד השופט ח' סבאג תאריך הישיבה: ז' בכסלו התשפ""ד (20.11.2023) בשם המערער: עו""ד איתן און; עו""ד משה סוחמי בשם המשיבה: עו""ד עילית מידן בשם שירות המבחן: עו""ס סיוון קוריס פסק-דין המערער החל בתהליך של קבלת אחריות, כעולה מדבריו לקצינת המבחן בתסקיר עדכני. הוא מכיר בחומרת מעשיו, מביע אמפתיה כלפי נפגע העבירה. תהליך זה נמשך בגמר הדיון היום, בלקיחת אחריות מלאה. המערער חזר בו מערעורו על הכרעת הדין. בהתחשב בגילו הצעיר, בהעדר עבר פלילי, בלקיחת האחריות ובכלל נסיבות העניין, החלטנו על הקלה מסויימת בעונש; עונש המאסר יעמוד על 3 שנים, חלף 3 וחצי שנות מאסר שנקבעו בגזר הדין בבית המשפט המחוזי, שאר רכיבי גזר הדין יעמדו על כנם. ניתן היום, ז' בכסלו התשפ""ד ( 20.11.2023). ש ו פ ט ש ו פ ט ת ש ו פ ט _________________________ 23019330_O20.docx רא מרכז מידע, טל'"
23021700.P05.txt	
21079460.E05.txt	"""ס סיוון קוריס פסק-דין המערער החל בתהליך של קבלת אחריות, כעולה מדבריו לקצינת המבחן בתסקיר עדכני. הוא מכיר בחומרת מעשיו, מביע אמפתיה כלפי נפגע העבירה. תהליך זה נמשך בגמר הדיון היום, בלקיחת אחריות מלאה. המערער חזר בו מערעורו על הכרעת הדין. בהתחשב בגילו הצעיר, בהעדר עבר פלילי, בלקיחת האחריות ובכלל נסיבות העניין, החלטנו על הקלה מסויימת בעונש; עונש המאסר יעמוד על 3 שנים, חלף 3 וחצי שנות מאסר שנקבעו בגזר הדין בבית המשפט המחוזי, שאר רכיבי גזר הדין יעמדו על כנם. ניתן היום, ז' בכסלו התשפ""ד ( 20.11.2023). ש ו פ ט ש ו פ ט ת ש ו פ ט _________________________ 23019330_O20.docx רא מרכז מידע, טל' 077-2703333, 3852* ; אתר"
22014200.Y03.txt	"היום, ז' בכסלו התשפ""ד ( 20.11.2023). ש ו פ ט ש ו פ ט ת ש ו פ ט _________________________ 23019330_O20.docx רא מרכז מידע, טל' 077-2703333, 3852* ; אתר אינטרנט,"
21010890.J04.txt	
23041680.E02.txt	"פ""ד (20.11.2023) בשם המערער: עו""ד איתן און; עו""ד משה סוחמי בשם המשיבה: עו""ד עילית מידן בשם שירות המבחן: עו""ס סיוון קוריס פסק-דין המערער החל בתהליך של קבלת אחריות, כעולה מדבריו לקצינת המבחן בתסקיר עדכני. הוא מכיר בחומרת מעשיו, מביע אמפתיה כלפי נפגע העבירה. תהליך זה נמשך בגמר הדיון היום, בלקיחת אחריות מלאה. המערער חזר בו מערעורו על הכרעת הדין. בהתחשב בגילו הצעיר, בהעדר עבר פלילי, בלקיחת האחריות ובכלל נסיבות העניין, החלטנו על הקלה מסויימת בעונש; עונש המאסר יעמוד על 3 שנים, חלף 3 וחצי שנות מאסר שנקבעו בגזר הדין בבית המשפט המחוזי, שאר"
