filename	result
23019330.O20.txt	" פסק-דין בתיק ע""פ 1933/23 בבית המשפט העליון בשבתו כבית משפט לערעורים פליליים ע""פ 1933/23 לפני: כבוד השופט נ' סולברג כבוד השופטת ד' ברק-ארז כבוד השופט ע' גרוסקופף המערער: תאמר זועבי נ ג ד המשיבה: מדינת ישראל ערעור על הכרעת הדין וגזר הדין של בית המשפט המחוזי בנצרת, מיום 20.7.2022, ומיום 2.2.2023, בת""פ 39344-03-20, שניתנו על-ידי כבוד השופט ח' סבאג תאריך הישיבה: ז' בכסלו התשפ""ד (20.11.2023) בשם המערער: עו""ד איתן און; עו""ד משה סוחמי בשם המשיבה: עו""ד עילית מידן בשם שירות המבחן: עו""ס סיוון קוריס פסק-דין המערער החל בתהליך של קבלת אחריות, כעולה מדבריו לקצינת המבחן בתסקיר עדכני."
22032000.P08.txt	"משאלה הם פני הדברים, נותרה השאלה – האם יש להתערב בשיקול הדעת של המשיבה כאשר היא קבעה כי הספק שנותר לגבי הסיכוי שהעותר ביצע את העבירה, הוא ממשי ומשמעותי דיו כדי לקבוע עילת סגירה של ""חוסר ראיות""."
22010740.X06.txt	סיכומו של דבר, כל השיקולים הנדרשים בעניינם של המערערים הובאו בחשבון ולא נפלה בגזר דינו של בית המשפט המחוזי כל טעות המצדיקה התערבותנו.
23015880.E02.txt	על כך נסבה העתירה דנן.
23060140.E03.txt	על כך נסבה העתירה דנן.
23021700.P05.txt	לכן השאלה היא האם היו טעמים המצדיקים לעכב את יציאת העותר מהארץ במסגרת תביעת הגירושין.
21079460.E05.txt	"הלכה ידועה היא כי בית משפט זה לא יידרש לעתירה שהוגשה טרם קיבלה הרשות המוסמכת החלטה סופית בעניין העומד על הפרק (וראו, מיני רבים, בג""ץ 278/22 פלוני נ' רשות האוכלוסין, פסקה 3 והאסמכתאות שם (1.2.2022); בג""ץ 6367/20 אלהדלין נ' ועדת המשנה לפיקוח, פסקה 7 (28.4.2021))."
22014200.Y03.txt	לפנים משורת הדין, אין צו להוצאות.
21010890.J04.txt	ובמישור האופרטיבי, אני סבורה כחבריי שיש לקבל את הערעור ולהחזיר את התיק לבית המשפט המחוזי כדי שידון בהרשעת המשיב בעבירת מרמה והפרת אמונים.
23041680.E02.txt	על כך נסבה העתירה שלפנינו.
21026650.Z06.txt	חובת הגינות מוגברת זו כשלעצמה חייבה את המדינה בקיום ההסדר כפי שהסביר כאמור באריכות המשנה לנשיאה.
23028400.J09.txt	לאור הדברים שהשמיעה אמו של התינוק לפני בית המשפט המחוזי, נחתם גזר הדין בהערה שלפיה אין זה ברור מדוע התינוק ומשפחתו אינם זוכים לסיוע כספי משמעותי יותר מהרשויות.
22048250.A01.txt	אוסיף כי כל עיסוק נוסף בטענותיו של העותר עלול להוביל במקרה זה להחלפת היוצרות – דהיינו לבחינתו של הסדר הטיעון בבית משפט זה, ולא בבית המשפט שבפניו מתקיים ההליך העיקרי.
21078000.A07.txt	" פסק-דין בתיק ע""פ 7800/21 בבית המשפט העליון בשבתו כבית משפט לערעורים פליליים ע""פ 7800/21 לפני: כבוד השופטת ד' ברק-ארז כבוד השופטת י' וילנר כבוד השופט ע' גרוסקופף המערער: אחמד פריג' נ ג ד המשיבה: מדינת ישראל ערעור על גזר דינו של בית המשפט המחוזי מרכז-לוד מיום 5.10.2021 בת""פ 33544-04-20 שניתן על-ידי כבוד השופט ח' טרסי תאריך הישיבה: כ' באדר ב התשפ""ב (23.3.2022) בשם המערער: עו""ד איהאב ג'לג'ולי בשם המשיבה: עו""ד סיגל בלום מתורגמנית: ענדליב שהואן פסק-דין לאחר שנשמעו טענות הצדדים ובהמלצתנו, המערער חזר בו מערעורו והוא נדחה בזאת."
21069180.F09.txt	ראשית, מדובר בטענה אשר לא נטענה בבית המשפט המחוזי במהלך הטיעונים לעונש.
